"Q1: Respondent","Q2: What kind of singing do you do? Tick all that apply","Q3: What kinds of folk singing events do you attend? Tick all that apply - Selected Choice","Q4: What kinds of folk singing events do you attend? Tick all that apply - Other, please describe - Text","Q5: How many times have you been folk singing in the last four weeks?","Q6: How old were you when you first took part in a folk singing event?","Q7: Why did you choose to start folk singing?","Microphone","Standing","Instrument","Word","Q12: Please describe your ideal folk singing environment.","Q13: How well do you think you sing when you take part in a folk singing event?
0 = I sing very badly 
10 = I sing excellently.","Q14: How important to you is it that other people are good singers at folk singing events?","Q15: How accepted do you feel when you sing at a folk singing event?","Q16: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Selected Choice","Q17: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Other, please describe - Text","Q18: What other types of music events do you take part in? Please tick all that apply - Selected Choice","Q19: What other types of music events do you take part in? Please tick all that apply - Other, please describe - Text","Q22: For how long did you / have you organised folk singing events?","Q23: Have you organised non-folk music events as well? - Selected Choice","Q24: Have you organised non-folk music events as well? - Yes, please describe - Text","Q25: What motivates you to organise folk singing events?","Q26: Have you ever actively tried to reach people who may not normally attend folk singing events?","Q27: Please describe what you did and what impacts (if any) these actions had","Q28: Have you ever actively tried to improve accessibility to your events? By â€œaccessibilityâ€, we mean removing barriers that might prevent disabled people from attending an event.","Q29: Please describe how you tried to improve accessibility to your events and what impacts (if any) these actions had","Q30: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Selected Choice","Q31: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Other, please describe - Text","Q32: You selected that the song's content connects you to a specific place. Please describe the place.","Q33: You selected that you like to sing about a particular topic. Please describe the topic.","Q34: You selected that the song's origin interests you. Please describe the types of origins that interest you.","Q35: You selected that you connect with the song's political message. Please describe the political message that you connect with.","Q36: Would you like to tell us anything about why you choose to sing particular songs?","Q37: Have you ever heard a song at a folk singing event that you felt was inappropriate?","Inappropriate","Q39: Did you raise this with anyone at the event?","Impact","Q41: Have you ever experienced any barriers to participating in a folk singing event? For example, something relating to mental or physical health that could not be accommodated, or feeling unwelcome due to your age, gender, sexuality or ethnicity?","Barrier","Q43: Are you aware of any attempts by the organisers of folk singing events you have attended to be more inclusive or increase accessibility to the event?","Q44: Please describe what you noticed the organiser did to be more inclusive or increase accessibility to the event.","Q45: Is there anything else you would like to tell us about your experiences relating to folk singing in England - in particular about community, identity or inclusion - that has not been covered in this survey?","Q46: We have shared this survey as widely as we can but due to the ever-changing nature of the folk scene and new kinds of events, we know we will have missed some. Are there any folk events that you think we might not know about?","Q52: What is the highest educational qualification you have obtained? - Selected Choice","Q53: What is the highest educational qualification you have obtained? - Other, please describe - Text","Q54: Which social class do you most identify with? - Selected Choice","Q55: Which social class do you most identify with? - Other, please describe - Text","Q56: Do you live in the United Kingdom?","Q57: Please provide the first part of your postcode, e.g., S35 or BD22. (This question is important for understanding the distribution of our respondents. Respondents cannot be identified from their postcode data. You will not be identified, contacted or added to any mailing lists.) - Postcode","Q58: What is your country of residence?","Q59: How would you describe your national identity? - Selected Choice","Q60: How would you describe your national identity? - Other, please describe - Text","Q67: What is your religion, if any? - Selected Choice","Q68: What is your religion, if any? - Other Christian denomination, please describe - Text","Q69: What is your religion, if any? - Any other religion, please describe - Text","Q70: Are you currently practising this religion?","PoliticalParty","Q73: If there was a general election tomorrow, which political party would you be most likely to support? - Other, please state - Text","Political","Organiser","Ethnicity","Gender","Disability","Sexuality","Age","AgeCategorical"
"Respondent 1","Sing choruses","Concerts,Folk festivals,Other traditional community singing (like carol singing)",NA,"0","6","It's not a choice- I'm around folkies a lot (Morris dancer) and have a good voice and enjoy it, so I join in when I'm around singers.","Without a PA / microphone","Don't mind","Without instruments","A mixture","Friendly festival post a day's dancing.","8","Neutral","Neutral","I do not have any personal relationships with people I meet at folk singing events",NA,"Audience at rock/pop gigs,Audience at classical concerts,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,The song's origin interests you,The song's content connects you to the past,Other, please describe","Enjoy the opportunity to harmonise",NA,NA,"Marine songs, kentish songs, mining traditions",NA,NA,"Don't know",NA,NA,NA,"No",NA,NA,NA,NA,NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","SG2",NA,"Other, please describe","Dual British and Irish citizen.","Roman Catholic",NA,NA,"Prefer not to say","Labour Party",NA,"10","Non-organiser","White UK","Male","No","Heterosexual/Straight",50,"41-60"
"Respondent 2","Sing choruses","Concerts,Folk festivals",NA,"0","32","Was at Shrewsbury FF so ended up in a singing thing late at night","Without a PA / microphone","From my seat / standing as part of a group","Don't mind","Don't mind","In a group either in a folk event at a club or pub","6","Somewhat important","Very accepted","I do not have any personal relationships with people I meet at folk singing events",NA,"Audience at rock/pop gigs,Other, please describe,5","Sing in various types of modern choir",NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's content connects you to a political message,Other, please describe","I know or like the song",NA,NA,NA,"Socialist, more left wing, equality, anti-tory!",NA,"No",NA,NA,NA,"Yes","Self-imposed. Thinking it too hard to get to. Thinking it will be difficult to manage when there. But in reality it would be fine if I just gave it a try","Yes","Provide words in advance so I could put them in braille. Publicised events on social media.","A lot seem to be more rural so that makes access harder and more costly. I wish more could be in cities or towns, on bus routes. It was great during covid when more things like this were online, there was more availability and choice then.",NA,"Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","De1",NA,"English",NA,"No religion",NA,NA,NA,"Labour Party",NA,"9","Non-organiser","White UK","Female","Yes","Bisexual",39,"18-40"
"Respondent 3","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing),Folk choir",NA,"3-5","17","Enjoyment of singing, listening to others sing and the friendship and community in folk clubs","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","Without a score / words","Unaccompanied singing with face to face contact with others in a pub function room","5","Not very important","Very accepted","Friendships",NA,"Other, please describe,5","Singing with community choirs","5 to 10 years","No",NA,"Sharing the enjoyment and companionship with others","Yes","Placed posters in community locations. Shared information about folk events with members of non-folk choirs. A small number of people from non-folk choirs have subsequently attended folk song events.","Yes","Moved from an upstairs function room in a pub to a downstairs quiet bar area","You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message",NA,"North East England","Industrial past, women's history, local historical events","19th century songwriters","Women's and working class struggles","Personal connection to me or to the experiences of my ancestors and their families in the north east, many of whom were seafarers.","Yes","Racist lyrics which would not have been deemed inappropriate at the time the song was written but would now be felt offensive","No","I choose songs more carefully or, if the song is otherwise worth singing, consider how the lyrics could be changed to make the content appropriate","No",NA,"Yes","Folk clubs which have sought out venues which are accessible",NA,NA,"Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Prefer not to say",NA,"Yes","SR6",NA,"English",NA,"No religion",NA,NA,NA,"Labour Party",NA,"6","Volunteer","White UK","Female","No","Heterosexual/Straight",71,"61-80+"
"Respondent 4","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals",NA,"6-10","38","Because it's inclusive and fun","Without a PA / microphone","Don't mind","A mixture","Don't mind","One that's friendly, welcoming and people give performers respect.","7","Somewhat important","Very accepted","Friendships",NA,"Audience at rock/pop gigs,5",NA,"1 to 5 years","No",NA,"The camaraderie and personal enjoyment of the amazing music shared.","Yes","I've invited non-folkies to events and they all absolutely loved it.","Yes","I've changed venue in favour of one more accessible.","You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content connects you to the past,The song's content connects you to a political message",NA,NA,NA,"Increasingly, Social history.","Anti-establishment, from the left, protests etc.","Difficult to put into words. A song either resonates or it doesn't.","Yes","Embarrassingly sexist or simply outdated songs. I've got a soft spot for a lot of Jake Thackeray but sometimes they can be cringe-inducing.","No","I need to always think about the words.","No",NA,NA,NA,NA,"I organise Feeding Folk, a monthly singaround. The price of entry for players, singers and audience alike is at least one item of foodbank suitable food. All donations are taken to our local foodbank the next day.

I'd love for this idea to be spread far & wide.","A level or equivalent (e.g., AS level; Highers; International Baccalaureate diploma; access to higher education diploma)",NA,"Working class",NA,"Yes","NE30",NA,"British",NA,"No religion",NA,NA,NA,"Labour Party",NA,"8","Professional","White UK","Male","No","Heterosexual/Straight",59,"41-60"
"Respondent 5","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals",NA,"1-2","19","Always been interested in traditional English sing and dance, persuaded by a friend to sing with her at a newly created folk club.","Without a PA / microphone","From my seat / standing as part of a group","A mixture","With a score / words","A pub or round a campfire","8","Not very important","Very accepted","Friendships",NA,"Other, please describe,5","Play for two Morris sides, play tunes in after Morris sessions.",NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message",NA,"The county of Kent",NA,"Working class struggle, occupational songs, ancient traditions","Working class struggle, Trade unions, military experience","Itâ€™s sometimes political, I sing Blackleg miner but with the names changed to the Kent mines, a lot of shared life experience and sometimes because the songs have a good tune oft really macabre lyrics.","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Working class",NA,"Yes","ME17",NA,"British",NA,"Any other religion, please describe",NA,"Druid","Yes","Green Party",NA,"8","Non-organiser","White UK","Female","Yes","Heterosexual/Straight",64,"61-80+"
"Respondent 6","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other, please describe","Zoom evenings, like a singaround/playaround, but over zoom the others cannot join in.  Also my morris side dances to singing, and I join in choruses.","3-5","20","We sang well known songs at home and at school, and as I got older I appreciated the non-American nature of the music and song.","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","A mixture","I am a musician and very occasional singer, I enjoy shanties and traditional songs and ballads but only sing a very small number of songs which I am gradually increasing, but with a preference for non-exploitative songs. Singarounds and zooms are my main places though I join in choruses anywhere.","6","Somewhat important","Very accepted","Friendships",NA,"Other, please describe,5","Sessions/singarounds/playarounds in person and over zoom,  and morris outings.","1 to 5 years","No",NA,"I enjoy joining them as audience and taking part as musician and occasional singer.","No",NA,"No",NA,"You like to sing about a particular topic,The song's content connects you to a specific place,The song's content connects you to a political message,Other, please describe","Sorry, hard to define.
","I grew up in the South-West so regional material is enjoyable, though I have no ancestral connection with singing or music in the area.","Various topics I suppose, maritime songs, love and loss, work and leisure.",NA,"I don't like songs of exploitation or violence.","I do look for seasonal songs and tunes for our zoom evenings. I enjoy joining in the shanties and chorus songs.  Otherwise a combination of familiarity and message.","Yes","Hard to define. I don't like exploitation or violence but some songs handle this well and others less well. I wouldn't go for many hunting songs but I wouldn't want them to be lost. I have heard songs about the mistreatment of women and ethnic groups but unfortunately this type of behaviour was very common and often still is.","No","Confirmed my views.
","No",NA,"Yes","Workshops to increase confidence and inclusivity, ground floor venues. Actually zoom evenings are good because we are all amateur and welcoming of whatever level of ability, plus people are in their own homes with their own equipment.","No, as I say I am a very minor amateur performer. I think this survey will be very useful if enough people join in. I have, because I wanted there to be answers from minor people like me and also to boost the use of zoom as a way of encouraging people of any ability (singing or physical or other) to join in safely and conveniently.  We have a sight-impaired lady who sings from Braille, our shanties are led by a sight-impaired person.  I am 70 and partially deaf and increasingly lacking in mobility myself.",NA,"Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","CT11",NA,"English",NA,"No religion",NA,NA,NA,"Labour Party",NA,"8","Volunteer","White UK","Male","Yes","Heterosexual/Straight",70,"61-80+"
"Respondent 7","Perform professionally/semi-professionally","Concerts,Folk festivals,Open mic nights",NA,"6-10","23","Fun/work","Don't mind","Don't mind","With instruments","Without a score / words","On a stage with chairs, mixture of tunes and songs","8","Somewhat important","Very accepted","Friendships,Professional relationships (like business collaborators, employers/employees)",NA,"Audience at rock/pop gigs,Audience at classical concerts,Audience at electronic music / DJ sets,Audience at non-folk festivals,Play in a rock/pop group,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry",NA,NA,NA,NA,NA,"I enjoy raucous drinking songs","Don't know",NA,NA,NA,"No",NA,"No",NA,NA,NA,"Postgraduate research degree (e.g., PhD, DPhil)",NA,"Middle class",NA,"Yes","HD1",NA,"British",NA,"No religion",NA,NA,NA,"Liberal Democrats",NA,"3","Non-organiser","White UK","Male","No","Heterosexual/Straight",28,"18-40"
"Respondent 8","Lead songs,Sing choruses","Singarounds,Folk festivals",NA,"0","16","I liked the songs.","Don't mind","Don't mind","A mixture","Without a score / words","Small venue, group of attentive like minded people","7","Somewhat important","Very accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"Other, please describe,5","Play and call for ceilidhs.",NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,The song's content connects with your personal experience,The song's content connects you to a political message",NA,NA,NA,NA,"Hoping for a better world","No","Yes","Change in attitudes to women mean that certain songs once thought humorous no longer are","No","Caused me to re assess my repertoire","No",NA,"Yes","More accessible for wheelchairs","No","No","Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","WA16",NA,"English",NA,"Christian, no denomination",NA,NA,"No","Labour Party",NA,"4","Non-organiser","White UK","Male","No","Heterosexual/Straight",70,"61-80+"
"Respondent 9","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"1-2","18","I fell in with a crowd who all sang and was encouraged to do so by them
","Without a PA / microphone","Don't mind","A mixture","Without a score / words","Singaround with traditional or traditional style UK songs.","8","Somewhat important","Very accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"Other, please describe,5","Traditional music sessions","5 to 10 years","No",NA,"Keeping it alive","No",NA,"Yes","Relocated","You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to a political message",NA,NA,NA,"Sea shanties. Ballads (Child espec.) Social circumstances","The oppressed vs the oppressor","It has a good story. It has a message.  It makes you think.","Don't know",NA,NA,NA,"No",NA,NA,NA,"Since I started in the 70s clubs seem to have become less welcoming to the casual listener. The majority of attendees in my university days were not performers. The songs ranged from populist to hard core tradition. Some none performers became performers, including me.",NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","De23",NA,"English",NA,"Roman Catholic",NA,NA,"Prefer not to say","Labour Party",NA,"5","Volunteer","White UK","Male","No",NA,69,"61-80+"
"Respondent 10","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Open mic nights",NA,"6-10","16","I liked the music, and it was the kind of music I was capable of doing.
Several of my friends liked it too.","Don't mind","Don't mind","Without instruments","Without a score / words","Smallish group, with several performers, so the singing is shared round. Audience/group that listens quietly. Performers who are mostly good at what they're doing, but tolerance of other standards. Probably a variety of material and styles; certainly not a firm restriction on what's allowed.","8","Somewhat important","Very accepted","Friendships,Other, please describe","Mutual support over material: songs, sources, links, etc","Audience at classical concerts,Sing in a classical choir,Other, please describe,5","Sing in a political choir",NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to a political message",NA,NA,"Lots of them. I like slightly mournful, but positive, love songs. Songs about social issues, both past and present. Religious/Christian songs - though I'm not a believer. Shape-shifting ballads.",NA,"Left-wing, egalitarian, anti-misogynistic. Fairly Green (though there aren't that many good explicitly Green songs)","First: it's a Good Song - melody, poetry, story 9subset of this for ballads: it's a Rattling Good Story)
Second: I think I can sing it well (there are songs I'm not able to do well)
Third: it expresses a personal/social/political position I'm comfortable with or would like to promote.
Fourth; It'll go down well in the kind of places I'll be singing
Fifth: it's a bit different from what I normally do - extends my range and gives variety to my performance","Yes","Mostly, Jolly Rape Songs. I have resolved to walk out the next time someone sings Two Magicians.
Some violence porn is unacceptable - Prince Heathen in particular.
All the violence against women stuff is dodgy, but it *is* apart of the tradition, and can be OK if given a context. Happy murder singalongs, though, like Banks of the Ohio, are bad.
I've stopped singing domestic violence songs, like Man of Burningham Town. I do have two songs in which women take violent revenge for abuse (Stitch in Time and Paul Carbuncle's Pig Farmer), which I think are OK, though. Not all my family agree.
Racial/ethnic (and to some extent National) stereotypes are inappropriate - but I don't hear many of those nowadays. Not sure about seven yellow gypsies and the like.
Material or performance styles which might be seen as 'musically inappropriate' are fine with me.","Yes","'Raise it at the event' is mostly muttering to the person next to me, or maybe to someone on the committee. There were a couple of local cases recently when people sang Delilah as a 'protest song' after the rugby ban - but I wasn't there. There was some heckling - which I like to think I would have joined in with.
Impact on my activity: looking at my repertoire a bit more carefully to lower the hypocrisy a bit.","No",NA,"Yes","Not much, actually. Just making sure that all attendees are welcomed and offered an opportunity to perform (which doesn't always happen, and can be experienced as quite a big barrier, especially if you don't look like the all the other attendees).
There is some attention paid to physical accessibility, but not a lot, and some venues are almost comically inaccessible.","The experience of community can be very strong, and important in developing and maintaining identity. My involvement with the music, with some of the people, and, to a lesser extent, with the clubs and organisations has been an important part of my life at various times - mainly teenage and early adulthood and again in old age, and there's a lot to be said about the mechanisms that promote that positivity. I feel that part of my identity is as a performer.
But all that is only available and relevant once you're *in* the system. I'm white, male, from a comfortable background, was able to hang out at a University Folk Club, reasonably good-looking (once), can sing fairly well, though I'm not really a musician, and was lucky enough to fall in with others better-equipped and better-connected than me. Without those things, I wouldn't have been aware of much of a supportive community.","Ad-hoc, semi-organised bar sessions in assorted compliant pubs, often fund-raising or political, sometimes afternoon rather than evening, with  a few lead performers/groups who carry the session, but open to assorted contributions from round the room. In this area (North Nottinghamshire/South Derbyshire) theyâ€™re mostly billed as country/americana/folk, with a bit of punk and blues. A bit like tune sessions, but less organized and more sporadic, and almost always with a political background.","Postgraduate research degree (e.g., PhD, DPhil)",NA,"Middle class",NA,"Yes","NG3",NA,"British",NA,"No religion",NA,NA,NA,"Other, please state","Green, unless tactically labour/anti-conservative","8","Non-organiser","White UK","Male","No","Heterosexual/Straight",76,"61-80+"
